Month,Hour,Zone_CAPITL,Zone_CENTRL,Zone_DUNWOD,Zone_GENESE,Zone_HUD VL,Zone_LONGIL,Zone_MHK VL,Zone_MILLWD,Zone_N.Y.C.,Zone_NORTH,Zone_WEST,RTD Actual Load
1,14,False,False,False,False,False,False,False,False,False,False,True,1809.4201596354167
1,14,False,False,False,False,False,False,False,False,False,True,False,750.5626901041666
1,14,False,False,False,False,False,False,False,False,True,False,False,5718.772689583333
1,14,False,False,False,False,False,False,False,True,False,False,False,312.9384046875
1,14,False,False,False,False,False,False,True,False,False,False,False,952.1666770833334
1,14,False,False,False,False,False,True,False,False,False,False,False,2133.7882161458333
1,14,False,False,False,False,True,False,False,False,False,False,False,1072.68906640625
1,14,False,False,False,True,False,False,False,False,False,False,False,1191.8539705729165
1,14,False,False,True,False,False,False,False,False,False,False,False,644.0804747395833
1,14,False,True,False,False,False,False,False,False,False,False,False,1924.3050622395833
1,14,True,False,False,False,False,False,False,False,False,False,False,1393.8403572916668
1,15,False,False,False,False,False,False,False,False,False,False,True,1805.014081117021
1,15,False,False,False,False,False,False,False,False,False,True,False,754.2125574468085
1,15,False,False,False,False,False,False,False,False,True,False,False,5739.6723875
1,15,False,False,False,False,False,False,False,True,False,False,False,318.775297606383
1,15,False,False,False,False,False,False,True,False,False,False,False,963.2593417553192
1,15,False,False,False,False,False,True,False,False,False,False,False,2200.0896797872338
1,15,False,False,False,False,True,False,False,False,False,False,False,1111.8173885638298
1,15,False,False,False,True,False,False,False,False,False,False,False,1203.4796757978725
1,15,False,False,True,False,False,False,False,False,False,False,False,652.3116595744681
1,15,False,True,False,False,False,False,False,False,False,False,False,1949.6579739361703
1,15,True,False,False,False,False,False,False,False,False,False,False,1423.6794218085106
1,16,False,False,False,False,False,False,False,False,False,False,True,1825.5160804812836
1,16,False,False,False,False,False,False,False,False,False,True,False,766.8060069518717
1,16,False,False,False,False,False,False,False,False,True,False,False,5833.183072459893
1,16,False,False,False,False,False,False,False,True,False,False,False,334.0255163101604
1,16,False,False,False,False,False,False,True,False,False,False,False,1004.0095470588235
1,16,False,False,False,False,False,True,False,False,False,False,False,2323.7418179144383
1,16,False,False,False,False,True,False,False,False,False,False,False,1173.9737505347593
1,16,False,False,False,True,False,False,False,False,False,False,False,1239.786011764706
1,16,False,False,True,False,False,False,False,False,False,False,False,673.0165743315508
1,16,False,True,False,False,False,False,False,False,False,False,False,2002.898140909091
1,16,True,False,False,False,False,False,False,False,False,False,False,1482.8047893048129
1,17,False,False,False,False,False,False,False,False,False,False,True,1879.820270866142
1,17,False,False,False,False,False,False,False,False,False,True,False,781.8367456692913
1,17,False,False,False,False,False,False,False,False,True,False,False,5960.007212335958
1,17,False,False,False,False,False,False,False,True,False,False,False,358.95631312335956
1,17,False,False,False,False,False,False,True,False,False,False,False,1057.1412259842518
1,17,False,False,False,False,False,True,False,False,False,False,False,2493.474092650919
1,17,False,False,False,False,True,False,False,False,False,False,False,1252.446860367454
1,17,False,False,False,True,False,False,False,False,False,False,False,1282.8063057742781
1,17,False,False,True,False,False,False,False,False,False,False,False,709.2189813648295
1,17,False,True,False,False,False,False,False,False,False,False,False,2079.6242362204725
1,17,True,False,False,False,False,False,False,False,False,False,False,1560.6619104986878
1,18,False,False,False,False,False,False,False,False,False,False,True,1893.069174468085
1,18,False,False,False,False,False,False,False,False,False,True,False,780.8464890957447
1,18,False,False,False,False,False,False,False,False,True,False,False,5907.667736436169
1,18,False,False,False,False,False,False,False,True,False,False,False,367.01013404255315
1,18,False,False,False,False,False,False,True,False,False,False,False,1062.5718659574468
1,18,False,False,False,False,False,True,False,False,False,False,False,2511.8333704787233
1,18,False,False,False,False,True,False,False,False,False,False,False,1263.3176425531915
1,18,False,False,False,True,False,False,False,False,False,False,False,1277.4802609042554
1,18,False,False,True,False,False,False,False,False,False,False,False,715.5956656914893
1,18,False,True,False,False,False,False,False,False,False,False,False,2082.184840425532
1,18,True,False,False,False,False,False,False,False,False,False,False,1557.9133856382978
1,19,False,False,False,False,False,False,False,False,False,False,True,1864.5217831550804
1,19,False,False,False,False,False,False,False,False,False,True,False,768.6115470588236
1,19,False,False,False,False,False,False,False,False,True,False,False,5778.816568716577
1,19,False,False,False,False,False,False,False,True,False,False,False,359.8140080213904
1,19,False,False,False,False,False,False,True,False,False,False,False,1045.227907486631
1,19,False,False,False,False,False,True,False,False,False,False,False,2446.335098128342
1,19,False,False,False,False,True,False,False,False,False,False,False,1239.4129796791444
1,19,False,False,False,True,False,False,False,False,False,False,False,1248.434889037433
1,19,False,False,True,False,False,False,False,False,False,False,False,702.1646925133689
1,19,False,True,False,False,False,False,False,False,False,False,False,2047.1393029411765
1,19,True,False,False,False,False,False,False,False,False,False,False,1524.5487679144385
1,20,False,False,False,False,False,False,False,False,False,False,True,1831.0346771505376
1,20,False,False,False,False,False,False,False,False,False,True,False,761.385144892473
1,20,False,False,False,False,False,False,False,False,True,False,False,5620.921544892473
1,20,False,False,False,False,False,False,False,True,False,False,False,348.8474330645161
1,20,False,False,False,False,False,False,True,False,False,False,False,1012.6510916666667
1,20,False,False,False,False,False,True,False,False,False,False,False,2368.238171236559
1,20,False,False,False,False,True,False,False,False,False,False,False,1208.9558446236558
1,20,False,False,False,True,False,False,False,False,False,False,False,1209.7685438172043
1,20,False,False,True,False,False,False,False,False,False,False,False,681.1912282258065
1,20,False,True,False,False,False,False,False,False,False,False,False,1986.4928293010753
1,20,True,False,False,False,False,False,False,False,False,False,False,1478.7953900537634
1,21,False,False,False,False,False,False,False,False,False,False,True,1780.2792803763439
1,21,False,False,False,False,False,False,False,False,False,True,False,743.499994623656
1,21,False,False,False,False,False,False,False,False,True,False,False,5438.110255376344
1,21,False,False,False,False,False,False,False,True,False,False,False,331.3142387096774
1,21,False,False,False,False,False,False,True,False,False,False,False,963.8561736559141
1,21,False,False,False,False,False,True,False,False,False,False,False,2252.8607126344086
1,21,False,False,False,False,True,False,False,False,False,False,False,1159.3488967741937
1,21,False,False,False,True,False,False,False,False,False,False,False,1155.0717599462366
1,21,False,False,True,False,False,False,False,False,False,False,False,652.7441142473118
1,21,False,True,False,False,False,False,False,False,False,False,False,1905.8703153225808
1,21,True,False,False,False,False,False,False,False,False,False,False,1410.8232545698925
1,22,False,False,False,False,False,False,False,False,False,False,True,1708.9286262032085
1,22,False,False,False,False,False,False,False,False,False,True,False,728.9555368983956
1,22,False,False,False,False,False,False,False,False,True,False,False,5185.707966042781
1,22,False,False,False,False,False,False,False,True,False,False,False,308.63608663101604
1,22,False,False,False,False,False,False,True,False,False,False,False,908.6110532085561
1,22,False,False,False,False,False,True,False,False,False,False,False,2102.8514216577537
1,22,False,False,False,False,True,False,False,False,False,False,False,1091.8163778074868
